2023-01-12 11:25:33,832 -+- PEER2_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48001) via normal socket, seq0, ack25, pkt_len16
2023-01-12 11:25:33,833 -+- PEER2_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48001) via normal socket, seq35, ack0, pkt_len1040
2023-01-12 11:25:33,834 -+- PEER2_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48001) via normal socket, seq0, ack26, pkt_len16
2023-01-12 11:25:33,835 -+- PEER2_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48001) via normal socket, seq36, ack0, pkt_len1040
2023-01-12 11:25:33,835 -+- PEER2_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48001) via normal socket, seq0, ack27, pkt_len16
2023-01-12 11:25:33,836 -+- PEER2_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48001) via normal socket, seq37, ack0, pkt_len1040
2023-01-12 11:25:33,837 -+- PEER2_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48001) via normal socket, seq0, ack28, pkt_len16
2023-01-12 11:25:33,838 -+- PEER2_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48001) via normal socket, seq38, ack0, pkt_len1040
2023-01-12 11:25:33,839 -+- PEER2_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48001) via normal socket, seq0, ack29, pkt_len16
2023-01-12 11:25:33,840 -+- PEER2_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48001) via normal socket, seq39, ack0, pkt_len1040
2023-01-12 11:25:33,841 -+- PEER2_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48001) via normal socket, seq0, ack30, pkt_len16
2023-01-12 11:25:33,841 -+- PEER2_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48001) via normal socket, seq40, ack0, pkt_len1040
2023-01-12 11:25:33,842 -+- PEER2_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48001) via normal socket, seq0, ack31, pkt_len16
2023-01-12 11:25:33,843 -+- PEER2_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48001) via normal socket, seq41, ack0, pkt_len1040
2023-01-12 11:25:33,844 -+- PEER2_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48001) via normal socket, seq0, ack32, pkt_len16
2023-01-12 11:25:33,845 -+- PEER2_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48001) via normal socket, seq42, ack0, pkt_len1040
2023-01-12 11:25:33,846 -+- PEER2_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48001) via normal socket, seq0, ack33, pkt_len16
2023-01-12 11:25:33,848 -+- PEER2_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48001) via normal socket, seq43, ack0, pkt_len1040
2023-01-12 11:25:33,849 -+- PEER2_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48001) via normal socket, seq0, ack34, pkt_len16
2023-01-12 11:25:33,849 -+- PEER2_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48001) via normal socket, seq44, ack0, pkt_len1040
